FRIGG:	 Q: 0.0869448 ;	1.13485 ;	1.86787 ;	0 ;	-0.921528 ;	-8.8772e-08 ;	|Torque: 0.0869096 ;	 4.60811 ;	 -0.0984906 ;	 1.26432e-06 ;	 0.93911 ;	 -0.626073 ;	 |MotorD: 184.982 ;	 0 ;|t 57.9397 ;	 245.022 ;	 -4.4821e-08 ;|t 2304.06 ;	 197.021 ;	 0 ;|t -49.2453 ;	 180 ;	 0 ;|t 0.00124872 ;	 232.8 ;	 0 ;|t -695.637 ;	 127.2 ;	 0 ;|t -7.3171e-05 ;	 252
THOR:	 Q: 0 ;	1.24958 ;	1.84235 ;	0 ;	-0.992653 ;	-1.565 ;	|Torque: 2.924e-05 ;	 4.60888 ;	 -0.336445 ;	 -1.04317e-06 ;	 -0.565422 ;	 -1.69874 ;	 |MotorD: 180 ;	 0 ;|t 0.0194934 ;	 251.596 ;	 -5.03532e-07 ;|t 2304.44 ;	 195.559 ;	 0 ;|t -168.223 ;	 180 ;	 0 ;|t -0.00103029 ;	 102.373 ;	 0 ;|t -734.33 ;	 -11.3767 ;	 0 ;|t -1153.16 ;	 300
LOKI:	 Q: 0.0869445 ;	1.13485 ;	1.86787 ;	0 ;	-0.921528 ;	-8.8772e-08 ;	|Torque: 0.08698 ;	 4.60814 ;	 -0.0984578 ;	 -1.12334e-06 ;	 0.939093 ;	 -0.626062 ;	 |MotorD: 184.982 ;	 0 ;|t 57.9867 ;	 245.022 ;	 -6.88209e-07 ;|t 2304.07 ;	 197.021 ;	 0 ;|t -49.2289 ;	 180 ;	 0 ;|t -0.00110947 ;	 232.8 ;	 0 ;|t -695.625 ;	 127.2 ;	 0 ;|t -7.34542e-05 ;	 300
ODIN:	 Q: 0.0869448 ;	1.13485 ;	1.86787 ;	0 ;	-0.921528 ;	-8.8772e-08 ;	|Torque: 0.0869157 ;	 4.60811 ;	 -0.0984585 ;	 1.03865e-06 ;	 0.93911 ;	 -0.626073 ;	 |MotorD: 184.982 ;	 0 ;|t 57.9438 ;	 245.022 ;	 -2.16189e-07 ;|t 2304.06 ;	 197.021 ;	 0 ;|t -49.2293 ;	 180 ;	 0 ;|t 0.00102582 ;	 232.8 ;	 0 ;|t -695.637 ;	 127.2 ;	 0 ;|t -7.2553e-05 ;	 300
FRIGG:	 Q: 0.0869448 ;	1.13485 ;	1.86787 ;	0 ;	-0.921528 ;	-8.8772e-08 ;	|Torque: 0.0869096 ;	 4.60811 ;	 -0.0984584 ;	 1.26546e-06 ;	 0.939094 ;	 -0.626063 ;	 |MotorD: 184.982 ;	 0 ;|t 57.9398 ;	 245.022 ;	 -1.84074e-07 ;|t 2304.06 ;	 197.021 ;	 0 ;|t -49.2292 ;	 180 ;	 0 ;|t 0.00124984 ;	 232.8 ;	 0 ;|t -695.625 ;	 127.2 ;	 0 ;|t -7.36761e-05 ;	 300
THOR:	 Q: 0 ;	1.24958 ;	1.84235 ;	0 ;	-0.992653 ;	-1.565 ;	|Torque: 2.92439e-05 ;	 4.60885 ;	 -0.336446 ;	 -1.04112e-06 ;	 -0.565422 ;	 -1.69874 ;	 |MotorD: 180 ;	 0 ;|t 0.0194959 ;	 251.596 ;	 -1.05593e-07 ;|t 2304.43 ;	 195.559 ;	 0 ;|t -168.223 ;	 180 ;	 0 ;|t -0.00102826 ;	 102.373 ;	 0 ;|t -734.33 ;	 -11.3767 ;	 0 ;|t -1153.16 ;	 334
LOKI:	 Q: 0.0869445 ;	1.13485 ;	1.86787 ;	0 ;	-0.921528 ;	-8.8772e-08 ;	|Torque: 0.086978 ;	 4.60811 ;	 -0.0984586 ;	 -1.12429e-06 ;	 0.93911 ;	 -0.626073 ;	 |MotorD: 184.982 ;	 0 ;|t 57.9853 ;	 245.022 ;	 -9.92565e-08 ;|t 2304.06 ;	 197.021 ;	 0 ;|t -49.2293 ;	 180 ;	 0 ;|t -0.00111041 ;	 232.8 ;	 0 ;|t -695.637 ;	 127.2 ;	 0 ;|t -7.35757e-05 ;	 334
ODIN:	 Q: 0.0869448 ;	1.13485 ;	1.86787 ;	0 ;	-0.921528 ;	-8.8772e-08 ;	|Torque: 0.0869156 ;	 4.60814 ;	 -0.0984586 ;	 1.03849e-06 ;	 0.939094 ;	 -0.626063 ;	 |MotorD: 184.982 ;	 0 ;|t 57.9438 ;	 245.022 ;	 -1.30221e-07 ;|t 2304.07 ;	 197.021 ;	 0 ;|t -49.2293 ;	 180 ;	 0 ;|t 0.00102567 ;	 232.8 ;	 0 ;|t -695.625 ;	 127.2 ;	 0 ;|t -7.39651e-05 ;	 334
FRIGG:	 Q: 0.0869448 ;	1.13485 ;	1.86787 ;	0 ;	-0.921528 ;	-8.8772e-08 ;	|Torque: 0.0869096 ;	 4.60811 ;	 -0.0984906 ;	 1.26628e-06 ;	 0.93911 ;	 -0.626073 ;	 |MotorD: 184.982 ;	 0 ;|t 57.9397 ;	 245.022 ;	 9.57043e-09 ;|t 2304.06 ;	 197.021 ;	 0 ;|t -49.2453 ;	 180 ;	 0 ;|t 0.00125065 ;	 232.8 ;	 0 ;|t -695.637 ;	 127.2 ;	 0 ;|t -7.33912e-05 ;	 334
THOR:	 Q: 0 ;	1.24958 ;	1.84235 ;	0 ;	-0.992653 ;	-1.565 ;	|Torque: 2.92401e-05 ;	 4.60888 ;	 -0.336478 ;	 -1.04141e-06 ;	 -0.565406 ;	 -1.69875 ;	 |MotorD: 180 ;	 0 ;|t 0.0194934 ;	 251.596 ;	 -2.68594e-07 ;|t 2304.44 ;	 195.559 ;	 0 ;|t -168.239 ;	 180 ;	 0 ;|t -0.00102855 ;	 102.373 ;	 0 ;|t -734.342 ;	 -11.3767 ;	 0 ;|t -1153.16 ;	 374
LOKI:	 Q: 0.0869445 ;	1.13485 ;	1.86787 ;	0 ;	-0.921528 ;	-8.8772e-08 ;	|Torque: 0.086978 ;	 4.60811 ;	 -0.0984585 ;	 -1.12382e-06 ;	 0.93911 ;	 -0.626073 ;	 |MotorD: 184.982 ;	 0 ;|t 57.9853 ;	 245.022 ;	 -1.15041e-07 ;|t 2304.06 ;	 197.021 ;	 0 ;|t -49.2293 ;	 180 ;	 0 ;|t -0.00110994 ;	 232.8 ;	 0 ;|t -695.637 ;	 127.2 ;	 0 ;|t -7.36475e-05 ;	 374
ODIN:	 Q: 0.0869448 ;	1.13485 ;	1.86787 ;	0 ;	-0.921528 ;	-8.8772e-08 ;	|Torque: 0.0869156 ;	 4.60814 ;	 -0.0984584 ;	 1.03889e-06 ;	 0.93911 ;	 -0.626073 ;	 |MotorD: 184.982 ;	 0 ;|t 57.9437 ;	 245.022 ;	 -3.47161e-07 ;|t 2304.07 ;	 197.021 ;	 0 ;|t -49.2292 ;	 180 ;	 0 ;|t 0.00102606 ;	 232.8 ;	 0 ;|t -695.637 ;	 127.2 ;	 0 ;|t -7.46604e-05 ;	 374
FRIGG:	 Q: 0.0869448 ;	1.13485 ;	1.86787 ;	0 ;	-0.921528 ;	-8.8772e-08 ;	|Torque: 0.0869116 ;	 4.60811 ;	 -0.0984908 ;	 1.26566e-06 ;	 0.939094 ;	 -0.626063 ;	 |MotorD: 184.982 ;	 0 ;|t 57.9411 ;	 245.022 ;	 1.58135e-08 ;|t 2304.06 ;	 197.021 ;	 0 ;|t -49.2454 ;	 180 ;	 0 ;|t 0.00125003 ;	 232.8 ;	 0 ;|t -695.625 ;	 127.2 ;	 0 ;|t -7.31372e-05 ;	 375
THOR:	 Q: 0 ;	1.24958 ;	1.84235 ;	0 ;	-0.992653 ;	-1.565 ;	|Torque: 2.92401e-05 ;	 4.60888 ;	 -0.336478 ;	 -1.04141e-06 ;	 -0.565406 ;	 -1.69875 ;	 |MotorD: 180 ;	 0 ;|t 0.0194934 ;	 251.596 ;	 -2.68594e-07 ;|t 2304.44 ;	 195.559 ;	 0 ;|t -168.239 ;	 180 ;	 0 ;|t -0.00102855 ;	 102.373 ;	 0 ;|t -734.342 ;	 -11.3767 ;	 0 ;|t -1153.16 ;	 410
LOKI:	 Q: 0.0869445 ;	1.13485 ;	1.86787 ;	0 ;	-0.921528 ;	-8.8772e-08 ;	|Torque: 0.086978 ;	 4.60811 ;	 -0.0984585 ;	 -1.12382e-06 ;	 0.93911 ;	 -0.626073 ;	 |MotorD: 184.982 ;	 0 ;|t 57.9853 ;	 245.022 ;	 -1.15041e-07 ;|t 2304.06 ;	 197.021 ;	 0 ;|t -49.2293 ;	 180 ;	 0 ;|t -0.00110994 ;	 232.8 ;	 0 ;|t -695.637 ;	 127.2 ;	 0 ;|t -7.36475e-05 ;	 410
ODIN:	 Q: 0.0869448 ;	1.13485 ;	1.86787 ;	0 ;	-0.921528 ;	-8.8772e-08 ;	|Torque: 0.0869156 ;	 4.60814 ;	 -0.0984584 ;	 1.03889e-06 ;	 0.93911 ;	 -0.626073 ;	 |MotorD: 184.982 ;	 0 ;|t 57.9437 ;	 245.022 ;	 -3.47161e-07 ;|t 2304.07 ;	 197.021 ;	 0 ;|t -49.2292 ;	 180 ;	 0 ;|t 0.00102606 ;	 232.8 ;	 0 ;|t -695.637 ;	 127.2 ;	 0 ;|t -7.46604e-05 ;	 410
FRIGG:	 Q: 0.0869448 ;	1.13485 ;	1.86787 ;	0 ;	-0.921528 ;	-8.8772e-08 ;	|Torque: 0.0869116 ;	 4.60811 ;	 -0.0984908 ;	 1.26566e-06 ;	 0.939094 ;	 -0.626063 ;	 |MotorD: 184.982 ;	 0 ;|t 57.9411 ;	 245.022 ;	 1.58135e-08 ;|t 2304.06 ;	 197.021 ;	 0 ;|t -49.2454 ;	 180 ;	 0 ;|t 0.00125003 ;	 232.8 ;	 0 ;|t -695.625 ;	 127.2 ;	 0 ;|t -7.31372e-05 ;	 411
